Public bench is broken,Public Property
Park swing is damaged,Public Property
Government building wall is damaged,Public Property
Community hall lights are broken,Public Property
Public toilet is unusable,Public Property
Public tap is damaged,Public Property
Bus shelter roof is broken,Public Property
Public park fence is damaged,Public Property
Public dustbin is broken,Public Property
Library entrance gate is damaged,Public Property
Park equipment requires repair,Public Property
Broken public seating area,Public Property
Public notice board damaged,Public Property
Damaged public staircase,Public Property
Government office gate broken,Public Property
Playground equipment unsafe,Public Property
Public water fountain not working,Public Property
Community center wall cracked,Public Property
Public gym equipment damaged,Public Property
Broken handrail in park,Public Property
Bus stop bench damaged,Public Property
Public restroom requires maintenance,Public Property
Park pathway tiles broken,Public Property
Public property vandalized,Public Property
Government building paint peeling,Public Property
Broken park gate,Public Property
Damaged public monument,Public Property
Public waiting area roof leaking,Public Property
Public property requires renovation,Public Property
Broken public drinking water facility,Public Property
Community building windows broken,Public Property
Play area unsafe for children,Public Property
Damaged bus stop sign,Public Property
Public property neglected,Public Property
Park lighting fixtures damaged,Public Property
Public garden fence broken,Public Property
Public staircase railing loose,Public Property
Government property maintenance required,Public Property
Community notice board broken,Public Property
Broken pavement in park,Public Property
Public washroom door broken,Public Property
Public seating damaged,Public Property
Public playground fence broken,Public Property
Community center roof leaking,Public Property
Public building entrance damaged,Public Property
Broken public shelter,Public Property
Public asset vandalized,Public Property
Public park maintenance required,Public Property
Community property damaged,Public Property
Government property needs repair,Public Property
Broken information board,Public Property
Damaged public infrastructure,Public Property
Public property unsafe,Public Property
Public building maintenance delayed,Public Property
Community asset damaged,Public Property
Broken civic property,Public Property
Public area facilities damaged,Public Property
Public property requires inspection,Public Property
Damaged municipal property,Public Property
Public property repair requested,Public Property
