Street light near the bus stop is not working,Street Light
Lamp post in front of the school is completely dark,Street Light
Street light keeps flickering throughout the night,Street Light
Entire lane has no functioning street lights,Street Light
LED street light is damaged and needs replacement,Street Light
Street light wiring appears broken,Street Light
Street light near the park has been off for a week,Street Light
Two street lights are not working on the main road,Street Light
Pole light is blinking continuously,Street Light
Street light switched off automatically after sunset,Street Light
Broken street light is making the road unsafe,Street Light
Street light outside hospital has stopped working,Street Light
High mast light is not functioning,Street Light
Street lights remain off every evening,Street Light
Dark street due to faulty street lights,Street Light
Light pole has exposed electrical wires,Street Light
Street light cover is broken,Street Light
Street light is hanging dangerously,Street Light
Old sodium lamp is completely dead,Street Light
Street light turns on only for a few minutes,Street Light
Street light has low brightness,Street Light
Several street lights are fused,Street Light
Street light maintenance is overdue,Street Light
Road is dark because all lights failed,Street Light
Light sensor is malfunctioning,Street Light
Pole has tilted after heavy rain,Street Light
Street light emits sparks occasionally,Street Light
Pole base is damaged,Street Light
Street light cable is exposed,Street Light
Lamp post has rusted badly,Street Light
Street light has fallen sideways,Street Light
No lighting near pedestrian crossing,Street Light
Street light beside temple is not working,Street Light
Residential street remains dark every night,Street Light
Street light outside apartment has failed,Street Light
Street lights flash randomly,Street Light
Street light repair has been delayed,Street Light
Street light stopped working after storm,Street Light
Street light glass is broken,Street Light
Pole is leaning dangerously,Street Light
Street light maintenance requested urgently,Street Light
Dark road increasing accident risk,Street Light
Street light issue affecting visibility,Street Light
Street lights not repaired despite complaints,Street Light
Street light cable snapped,Street Light
No illumination on service road,Street Light
Street light near junction is off,Street Light
Street light remains dim,Street Light
Street light timer is faulty,Street Light
Entire street has lighting failure,Street Light
Street light damaged by vehicle collision,Street Light
Street light not working since last month,Street Light
Broken lamp holder on pole,Street Light
Street light missing after repair work,Street Light
Street light tripping repeatedly,Street Light
Street light problem causing unsafe conditions,Street Light
Street light fixture is loose,Street Light
Street light electricity supply interrupted,Street Light
Old street lights require replacement,Street Light
Street lighting system needs maintenance,Street Light
