Drain is overflowing near the market,Drainage
Blocked drainage causing water accumulation,Drainage
Sewage water overflowing onto the road,Drainage
Drainage channel is clogged with waste,Drainage
Bad smell coming from open drain,Drainage
Drain cover is broken,Drainage
Drain water is stagnant,Drainage
Drainage line blocked after rainfall,Drainage
Overflowing drain creating unhygienic conditions,Drainage
Drain needs immediate cleaning,Drainage
Drain filled with plastic waste,Drainage
Drain is leaking dirty water,Drainage
Drain cover missing near school,Drainage
Open drain causing mosquito breeding,Drainage
Drainage pipeline is damaged,Drainage
Storm water drain is blocked,Drainage
Drain overflowing into houses,Drainage
Drain maintenance is overdue,Drainage
Drain wall has collapsed,Drainage
Drainage water entering road,Drainage
Sewage backup due to blocked drain,Drainage
Drain clogged with mud,Drainage
Drain filled with weeds,Drainage
Drain water flowing onto footpath,Drainage
Drainage issue after heavy rain,Drainage
Drain emitting foul odor,Drainage
Drain blocked by construction debris,Drainage
Open drain creating health hazard,Drainage
Drain overflow affecting traffic,Drainage
Drain requires desilting,Drainage
Drain cover displaced,Drainage
Drain broken beside residential area,Drainage
Drain collapse causing pothole,Drainage
Drain outlet blocked,Drainage
Drain flooded after rainfall,Drainage
Drain cleaning required urgently,Drainage
Drain pipe cracked,Drainage
Drain carrying stagnant sewage,Drainage
Drain filled with garbage,Drainage
Drain blockage causing flooding,Drainage
Drain overflowing every morning,Drainage
Drain damaged by heavy vehicles,Drainage
Drain water not flowing properly,Drainage
Drain maintenance neglected,Drainage
Drain causing slippery road,Drainage
Drain opening is unsafe,Drainage
Drain structure weakened,Drainage
Drain overflow reaching homes,Drainage
Drain wall cracked,Drainage
Drain causing sanitation issues,Drainage
Drain has become breeding ground for insects,Drainage
Drain cleaning delayed,Drainage
Drain blocked near bus stop,Drainage
Drain overflowing near temple,Drainage
Drain water mixing with rainwater,Drainage
Drain system requires repair,Drainage
Drain collapse needs fixing,Drainage
Drain overflowing continuously,Drainage
Drain blockage unresolved,Drainage
Drain maintenance requested,Drainage
