complaint,category,priority,department
Deep pothole near the government school,Road Damage,High,Roads & Infrastructure
Large pothole causing traffic congestion near the market,Road Damage,High,Roads & Infrastructure
Road surface has cracked after continuous rainfall,Road Damage,Medium,Roads & Infrastructure
Broken road making two-wheeler travel dangerous,Road Damage,High,Roads & Infrastructure
Road has completely collapsed beside the drainage canal,Road Damage,Critical,Roads & Infrastructure
Several potholes near the hospital entrance,Road Damage,High,Roads & Infrastructure
Main road has deep cracks near the bus stand,Road Damage,Medium,Roads & Infrastructure
Road shoulder has eroded after heavy rain,Road Damage,High,Roads & Infrastructure
Collapsed road blocking ambulance movement,Road Damage,Critical,Roads & Infrastructure
Deep ditch formed in the middle of the road,Road Damage,Critical,Roads & Infrastructure
Uneven road causing frequent bike accidents,Road Damage,High,Roads & Infrastructure
Road near the residential colony is badly damaged,Road Damage,Medium,Roads & Infrastructure
Potholes filled with rainwater are difficult to notice,Road Damage,High,Roads & Infrastructure
Road has become unsafe for school buses,Road Damage,Critical,Roads & Infrastructure
Cracked asphalt near the shopping complex,Road Damage,Medium,Roads & Infrastructure
Large pothole near the railway crossing,Road Damage,High,Roads & Infrastructure
Road surface is peeling off near the temple,Road Damage,Medium,Roads & Infrastructure
Broken concrete road beside the playground,Road Damage,Medium,Roads & Infrastructure
Damaged road creating heavy traffic every morning,Road Damage,High,Roads & Infrastructure
Road has sunk near the bridge,Road Damage,Critical,Roads & Infrastructure
Multiple potholes damaging vehicles daily,Road Damage,High,Roads & Infrastructure
Deep road cracks increasing every week,Road Damage,Medium,Roads & Infrastructure
Road repair work has been left unfinished,Road Damage,Medium,Roads & Infrastructure
Main junction road has become dangerous,Road Damage,High,Roads & Infrastructure
Road near the public park has several potholes,Road Damage,Medium,Roads & Infrastructure
Large cracks visible across the village road,Road Damage,Medium,Roads & Infrastructure
Road collapsed near the apartment entrance,Road Damage,Critical,Roads & Infrastructure
Damaged road causing waterlogging after every rain,Road Damage,High,Roads & Infrastructure
Uneven road making it difficult for elderly people,Road Damage,Medium,Roads & Infrastructure
Road has broken into multiple sections,Road Damage,Critical,Roads & Infrastructure
Heavy vehicles have damaged the entire road,Road Damage,Medium,Roads & Infrastructure
Broken road near the municipal office,Road Damage,Medium,Roads & Infrastructure
Potholes making emergency services slow,Road Damage,Critical,Roads & Infrastructure
Road is cracked from one end to another,Road Damage,High,Roads & Infrastructure
Dangerous pothole beside the petrol station,Road Damage,High,Roads & Infrastructure
Road surface has become uneven after pipeline work,Road Damage,Medium,Roads & Infrastructure
Damaged road creating dust pollution,Road Damage,Medium,Roads & Infrastructure
Road has developed deep depressions,Road Damage,High,Roads & Infrastructure
Collapsed roadside creating safety hazards,Road Damage,Critical,Roads & Infrastructure
Broken road near the community hall,Road Damage,Medium,Roads & Infrastructure
Road has become almost unusable after monsoon,Road Damage,Critical,Roads & Infrastructure
Potholes causing school vans to slow down,Road Damage,High,Roads & Infrastructure
Main road is damaged near the police station,Road Damage,High,Roads & Infrastructure
Road surface has cracked near the water tank,Road Damage,Medium,Roads & Infrastructure
Deep pothole near the traffic signal,Road Damage,High,Roads & Infrastructure
Road has started sinking near the canal,Road Damage,Critical,Roads & Infrastructure
Damaged road causing traffic jams every evening,Road Damage,High,Roads & Infrastructure
Large potholes making buses shake violently,Road Damage,High,Roads & Infrastructure
Broken road affecting access to the health center,Road Damage,High,Roads & Infrastructure
Cracks have spread across the main highway,Road Damage,Critical,Roads & Infrastructure
Road edge has broken near the river,Road Damage,Critical,Roads & Infrastructure
Road is severely damaged beside the college,Road Damage,High,Roads & Infrastructure
Deep potholes near the vegetable market,Road Damage,High,Roads & Infrastructure
Broken pavement creating danger for pedestrians,Road Damage,Medium,Roads & Infrastructure
Road damage forcing vehicles into the opposite lane,Road Damage,Critical,Roads & Infrastructure
Asphalt has worn away leaving large holes,Road Damage,High,Roads & Infrastructure
Road repair is urgently required near the bus depot,Road Damage,High,Roads & Infrastructure
Main street has become difficult to drive on,Road Damage,Medium,Roads & Infrastructure
Collapsed road section blocking public transport,Road Damage,Critical,Roads & Infrastructure
Road has dangerous potholes after recent floods,Road Damage,Critical,Roads & Infrastructure
