complaint,category,priority,department
Power outage in our colony since morning,Electricity,Critical,Electricity & Street Lighting
Electric pole is leaning dangerously,Electricity,Critical,Electricity & Street Lighting
Transformer is making loud noises,Electricity,High,Electricity & Street Lighting
Loose electric wire hanging near the road,Electricity,Critical,Electricity & Street Lighting
Frequent power cuts every evening,Electricity,High,Electricity & Street Lighting
Electric transformer is leaking oil,Electricity,Critical,Electricity & Street Lighting
Power supply interrupted repeatedly today,Electricity,High,Electricity & Street Lighting
Electric pole has developed cracks,Electricity,High,Electricity & Street Lighting
Sparking from electric wires near the market,Electricity,Critical,Electricity & Street Lighting
Electric cable has fallen on the road,Electricity,Critical,Electricity & Street Lighting
No electricity in our apartment building,Electricity,High,Electricity & Street Lighting
Voltage is fluctuating throughout the day,Electricity,High,Electricity & Street Lighting
Broken electric junction box near the park,Electricity,High,Electricity & Street Lighting
Electric transformer caught fire briefly,Electricity,Critical,Electricity & Street Lighting
High voltage fluctuations damaging appliances,Electricity,Critical,Electricity & Street Lighting
Electric pole is blocking the footpath after tilting,Electricity,High,Electricity & Street Lighting
Power supply has been unavailable for six hours,Electricity,Critical,Electricity & Street Lighting
Loose cable hanging outside the school,Electricity,Critical,Electricity & Street Lighting
Transformer near the hospital is malfunctioning,Electricity,Critical,Electricity & Street Lighting
Electric meter box is damaged,Electricity,Medium,Electricity & Street Lighting
Frequent tripping of electricity supply,Electricity,High,Electricity & Street Lighting
Underground power cable appears damaged,Electricity,Critical,Electricity & Street Lighting
Power line has snapped near the playground,Electricity,Critical,Electricity & Street Lighting
Electric pole has rusted badly,Electricity,Medium,Electricity & Street Lighting
Residents are facing daily power interruptions,Electricity,High,Electricity & Street Lighting
Transformer is overloaded during evenings,Electricity,High,Electricity & Street Lighting
Electric wire is touching tree branches,Electricity,Critical,Electricity & Street Lighting
Power outage affecting the health center,Electricity,Critical,Electricity & Street Lighting
Open electrical panel near the bus stand,Electricity,Critical,Electricity & Street Lighting
Fuse on the electric pole has blown,Electricity,Medium,Electricity & Street Lighting
Power supply is unstable in our street,Electricity,High,Electricity & Street Lighting
Electric wires are hanging very low,Electricity,Critical,Electricity & Street Lighting
Transformer is emitting smoke,Electricity,Critical,Electricity & Street Lighting
Electricity keeps going off during rainfall,Electricity,High,Electricity & Street Lighting
Pole-mounted transformer is vibrating heavily,Electricity,High,Electricity & Street Lighting
Broken electrical cable near the temple,Electricity,Critical,Electricity & Street Lighting
Electric line is dangerously close to houses,Electricity,Critical,Electricity & Street Lighting
Power outage near the shopping complex,Electricity,High,Electricity & Street Lighting
Electric junction box cover is missing,Electricity,High,Electricity & Street Lighting
Electric pole has fallen after strong winds,Electricity,Critical,Electricity & Street Lighting
Current supply is very irregular today,Electricity,Medium,Electricity & Street Lighting
Damaged power cable near the railway crossing,Electricity,Critical,Electricity & Street Lighting
Transformer is producing burning smell,Electricity,Critical,Electricity & Street Lighting
Loose electricity connection near the community hall,Electricity,High,Electricity & Street Lighting
Power failure affecting traffic signals,Electricity,Critical,Electricity & Street Lighting
Residents are facing low voltage issues,Electricity,Medium,Electricity & Street Lighting
Electric pole foundation has weakened,Electricity,High,Electricity & Street Lighting
Power outage after transformer failure,Electricity,Critical,Electricity & Street Lighting
Live wire exposed near residential colony,Electricity,Critical,Electricity & Street Lighting
Electricity supply restored only for a few minutes,Electricity,Medium,Electricity & Street Lighting
Transformer maintenance has been delayed,Electricity,Medium,Electricity & Street Lighting
Broken electric pole near the canal,Electricity,Critical,Electricity & Street Lighting
Power outage affecting water pumping station,Electricity,Critical,Electricity & Street Lighting
Electric line has snapped during the storm,Electricity,Critical,Electricity & Street Lighting
Voltage is too low during peak hours,Electricity,Medium,Electricity & Street Lighting
Electrical sparks visible every night,Electricity,Critical,Electricity & Street Lighting
Power cuts disrupting local businesses,Electricity,High,Electricity & Street Lighting
Transformer has stopped working completely,Electricity,Critical,Electricity & Street Lighting
Electric cable is lying across the road,Electricity,Critical,Electricity & Street Lighting
Continuous power failure in our locality,Electricity,Critical,Electricity & Street Lighting
