Stray dogs chasing pedestrians,Animal
Cattle roaming on the road,Animal
Injured dog lying on roadside,Animal
Monkey causing disturbance in residential area,Animal
Dead animal on the road,Animal
Stray pigs creating nuisance,Animal
Buffalo blocking traffic,Animal
Stray dog pack near school,Animal
Cow sitting in middle of road,Animal
Goats wandering into traffic,Animal
Dog barking aggressively at night,Animal
Animal carcass not removed,Animal
Stray animals near hospital,Animal
Monkey damaging houses,Animal
Street dogs fighting frequently,Animal
Cattle grazing on public road,Animal
Dead cow causing foul smell,Animal
Dog bite risk due to stray dogs,Animal
Animal blocking emergency vehicles,Animal
Snake spotted near residential area,Animal
Wild boar entering colony,Animal
Animal rescue required urgently,Animal
Stray cattle causing accidents,Animal
Dog injured after accident,Animal
Monkey entering school premises,Animal
Animals scattering garbage,Animal
Cow blocking junction,Animal
Stray dogs near playground,Animal
Animal causing traffic congestion,Animal
Dead animal near drainage,Animal
Aggressive stray dog reported,Animal
Stray horse roaming freely,Animal
Animal shelter assistance needed,Animal
Livestock wandering unattended,Animal
Animal creating public safety issue,Animal
Dead dog requires removal,Animal
Animal crossing without control,Animal
Cow injured on roadside,Animal
Monkey stealing food from residents,Animal
Animal creating sanitation problem,Animal
Dog pack increasing in area,Animal
Animal disturbing market area,Animal
Stray pigs near drainage,Animal
Animal rescue team needed,Animal
Stray cattle near highway,Animal
Dead animal attracting insects,Animal
Animal creating road hazard,Animal
Dog trapped in drain,Animal
Animal welfare assistance required,Animal
Monkey attacking pedestrians,Animal
Cow stuck in drainage,Animal
Stray dog population increasing,Animal
Animal causing fear among residents,Animal
Goats blocking road frequently,Animal
Animal emergency reported,Animal
Livestock creating traffic issues,Animal
Dog injured and unable to move,Animal
Animal control requested,Animal
Dead animal not removed yet,Animal
Immediate animal rescue required,Animal
