Tree branch blocking the road,Obstruction
Construction materials blocking traffic,Obstruction
Abandoned vehicle obstructing the road,Obstruction
Illegal parking blocking entrance,Obstruction
Street vendors occupying footpath,Obstruction
Large stones blocking road,Obstruction
Debris left on road after construction,Obstruction
Broken barricades obstructing movement,Obstruction
Fallen tree blocking traffic,Obstruction
Sand piles blocking roadside,Obstruction
Footpath occupied by vendors,Obstruction
Garbage blocking pedestrian path,Obstruction
Electric pole fallen across road,Obstruction
Construction waste blocking lane,Obstruction
Temporary shed blocking road,Obstruction
Abandoned cart blocking pathway,Obstruction
Unauthorized structure blocking drainage,Obstruction
Fence blocking public access,Obstruction
Road blocked by building materials,Obstruction
Large pothole filled with debris,Obstruction
Vehicle parked permanently on road,Obstruction
Broken signboard blocking walkway,Obstruction
Illegal encroachment on road,Obstruction
Concrete blocks blocking street,Obstruction
Road divider damaged and obstructing traffic,Obstruction
Street market blocking vehicles,Obstruction
Road closed without notice,Obstruction
Cable lying across road,Obstruction
Fallen advertisement board blocking road,Obstruction
Broken tree trunk blocking sidewalk,Obstruction
Construction equipment blocking street,Obstruction
Unauthorized parking on footpath,Obstruction
Temporary stalls blocking pedestrians,Obstruction
Road occupied by abandoned materials,Obstruction
Obstruction causing traffic congestion,Obstruction
Blocked emergency access road,Obstruction
Illegal barricade on street,Obstruction
Heavy machinery blocking road,Obstruction
Drain repair materials left unattended,Obstruction
Street blocked by festival setup,Obstruction
Road blocked due to fallen pole,Obstruction
Large container blocking lane,Obstruction
Unauthorized gate blocking access,Obstruction
Footpath inaccessible due to obstacles,Obstruction
Obstruction reducing road width,Obstruction
Public pathway blocked by waste,Obstruction
Broken wall blocking road,Obstruction
Collapsed structure blocking entrance,Obstruction
Obstruction near school entrance,Obstruction
Market goods blocking road,Obstruction
Road blocked by pipes,Obstruction
Obstruction affecting ambulance movement,Obstruction
Road blocked after accident,Obstruction
Traffic movement affected by obstruction,Obstruction
Temporary obstruction not removed,Obstruction
Illegal encroachment needs removal,Obstruction
Blocked service lane,Obstruction
Pedestrian crossing obstructed,Obstruction
Obstruction creating safety hazard,Obstruction
Road obstruction requires immediate removal,Obstruction
