complaint,category,priority,department
Garbage has not been collected for three days,Garbage,High,Sanitation & Waste Management
Overflowing garbage bin near the market,Garbage,High,Sanitation & Waste Management
Garbage is scattered across the road,Garbage,Medium,Sanitation & Waste Management
Waste is creating a foul smell near the school,Garbage,High,Sanitation & Waste Management
Garbage dumped beside the hospital entrance,Garbage,Critical,Sanitation & Waste Management
Dustbin is overflowing near the bus stand,Garbage,High,Sanitation & Waste Management
Household waste has accumulated near our colony,Garbage,Medium,Sanitation & Waste Management
Garbage collection vehicle has not visited our area,Garbage,High,Sanitation & Waste Management
Rotting waste is attracting stray animals,Garbage,High,Sanitation & Waste Management
Garbage is blocking the roadside drain,Garbage,High,Sanitation & Waste Management
Large pile of garbage near the playground,Garbage,Medium,Sanitation & Waste Management
Garbage has been left beside the public park,Garbage,Medium,Sanitation & Waste Management
Food waste is causing a bad smell,Garbage,Medium,Sanitation & Waste Management
Garbage is attracting mosquitoes in our area,Garbage,High,Sanitation & Waste Management
Overflowing dustbin near the shopping complex,Garbage,High,Sanitation & Waste Management
Plastic waste is spread across the street,Garbage,Medium,Sanitation & Waste Management
Garbage bags are lying on the footpath,Garbage,Medium,Sanitation & Waste Management
Waste has remained uncleared after the festival,Garbage,High,Sanitation & Waste Management
Garbage is blocking pedestrian movement,Garbage,Medium,Sanitation & Waste Management
Dustbin has not been emptied for several days,Garbage,High,Sanitation & Waste Management
Medical waste is dumped in the open,Garbage,Critical,Sanitation & Waste Management
Garbage near the temple is creating hygiene issues,Garbage,Medium,Sanitation & Waste Management
Waste collection has stopped in our street,Garbage,High,Sanitation & Waste Management
Open garbage dump attracting flies,Garbage,High,Sanitation & Waste Management
Overflowing community dustbin,Garbage,High,Sanitation & Waste Management
Garbage is piled beside the apartment gate,Garbage,Medium,Sanitation & Waste Management
Garbage has not been removed after market closing,Garbage,Medium,Sanitation & Waste Management
Waste is scattered around the public dustbin,Garbage,Medium,Sanitation & Waste Management
Foul smell due to accumulated garbage,Garbage,High,Sanitation & Waste Management
Garbage is affecting nearby shops,Garbage,Medium,Sanitation & Waste Management
Dustbin is broken and waste is spilling out,Garbage,Medium,Sanitation & Waste Management
Garbage is dumped near the drinking water tank,Garbage,Critical,Sanitation & Waste Management
Waste is attracting rats in the locality,Garbage,High,Sanitation & Waste Management
Garbage collection is irregular in our colony,Garbage,Medium,Sanitation & Waste Management
Open dumping of waste beside the road,Garbage,High,Sanitation & Waste Management
Garbage is causing air pollution after burning,Garbage,Critical,Sanitation & Waste Management
Waste is spread across the market area,Garbage,High,Sanitation & Waste Management
Overflowing garbage bin near the apartment,Garbage,Medium,Sanitation & Waste Management
Public dustbin is missing from our street,Garbage,Low,Sanitation & Waste Management
Garbage has accumulated near the bus depot,Garbage,High,Sanitation & Waste Management
Uncollected garbage is attracting insects,Garbage,High,Sanitation & Waste Management
Garbage is dumped near the school gate,Garbage,High,Sanitation & Waste Management
Waste disposal has become irregular,Garbage,Medium,Sanitation & Waste Management
Garbage is overflowing onto the road,Garbage,High,Sanitation & Waste Management
Large amount of plastic waste near the canal,Garbage,Medium,Sanitation & Waste Management
Overflowing waste bin creating hygiene problems,Garbage,High,Sanitation & Waste Management
Garbage is blocking vehicle movement,Garbage,Medium,Sanitation & Waste Management
Food waste has attracted stray dogs,Garbage,High,Sanitation & Waste Management
Garbage has remained uncollected after rainfall,Garbage,Medium,Sanitation & Waste Management
Public waste bin is completely full,Garbage,High,Sanitation & Waste Management
Waste is creating unhealthy conditions for residents,Garbage,High,Sanitation & Waste Management
Garbage has accumulated beside the railway crossing,Garbage,Medium,Sanitation & Waste Management
Overflowing garbage container near the hospital,Garbage,Critical,Sanitation & Waste Management
Illegal dumping of garbage in the open ground,Garbage,High,Sanitation & Waste Management
Garbage is causing severe odor in the neighborhood,Garbage,High,Sanitation & Waste Management
Dustbins are insufficient for our locality,Garbage,Low,Sanitation & Waste Management
Waste has accumulated near the community hall,Garbage,Medium,Sanitation & Waste Management
Garbage is affecting public health in the colony,Garbage,Critical,Sanitation & Waste Management
Overflowing garbage bin beside the main road,Garbage,High,Sanitation & Waste Management
Garbage has not been cleared despite repeated complaints,Garbage,High,Sanitation & Waste Management
