Traffic signal not working,Traffic
Heavy traffic congestion during peak hours,Traffic
Broken traffic light at junction,Traffic
Unauthorized parking causing traffic,Traffic
Missing traffic sign near school,Traffic
Road intersection requires traffic signal,Traffic
Traffic police assistance required,Traffic
Traffic jam due to road narrowing,Traffic
Speed breaker required near school,Traffic
Vehicles driving in wrong direction,Traffic
Signal timing needs adjustment,Traffic
Traffic lights blinking continuously,Traffic
Pedestrian crossing faded,Traffic
Missing zebra crossing,Traffic
Illegal U-turn causing accidents,Traffic
Traffic congestion near market,Traffic
No traffic signal at busy junction,Traffic
Road divider damaged,Traffic
Traffic signboard missing,Traffic
Wrong parking causing delays,Traffic
Traffic signal power failure,Traffic
Busy intersection without regulation,Traffic
Need no parking sign,Traffic
Traffic signal malfunctioning daily,Traffic
Heavy vehicle congestion,Traffic
School zone traffic issue,Traffic
Road markings faded,Traffic
Traffic lights remain red continuously,Traffic
Traffic signal pole damaged,Traffic
Vehicles blocking intersection,Traffic
Traffic management required,Traffic
Road safety signs missing,Traffic
Frequent traffic jams reported,Traffic
Traffic issue affecting emergency vehicles,Traffic
Illegal parking near hospital,Traffic
Need additional speed breakers,Traffic
Traffic congestion after road work,Traffic
Signal synchronization problem,Traffic
Traffic signs damaged,Traffic
Busy road requires regulation,Traffic
Roundabout causing congestion,Traffic
Traffic lane markings missing,Traffic
Accident-prone junction requires signal,Traffic
Traffic barriers damaged,Traffic
Road safety improvements required,Traffic
Traffic control needed during school hours,Traffic
Signal lights partially working,Traffic
Vehicles ignoring traffic rules,Traffic
Heavy congestion every evening,Traffic
Traffic issue due to encroachment,Traffic
Traffic bottleneck reported,Traffic
Need pedestrian crossing signal,Traffic
Traffic warning signs missing,Traffic
Traffic light maintenance overdue,Traffic
Intersection visibility poor,Traffic
Traffic flow disrupted,Traffic
Road safety complaint submitted,Traffic
Traffic signal requires repair,Traffic
Traffic congestion unresolved,Traffic
Urgent traffic management required,Traffic
