complaint,category,priority,department
No drinking water supply since yesterday,Water Supply,High,Water Supply
Water pipeline burst near the government school,Water Supply,Critical,Water Supply
Water leakage from the main pipeline near the market,Water Supply,High,Water Supply
Very low water pressure in our colony,Water Supply,Medium,Water Supply
Dirty water is coming from the household taps,Water Supply,High,Water Supply
Water tank is overflowing continuously,Water Supply,Medium,Water Supply
Pipeline leakage beside the hospital road,Water Supply,High,Water Supply
Public tap is damaged and leaking,Water Supply,Medium,Water Supply
No water supply in our apartment for two days,Water Supply,High,Water Supply
Drinking water smells bad,Water Supply,High,Water Supply
Brown colored water coming from the tap,Water Supply,High,Water Supply
Water pipe has broken near the bus stand,Water Supply,Critical,Water Supply
Continuous water leakage near the temple,Water Supply,Medium,Water Supply
Water is flowing onto the road because of a broken pipe,Water Supply,High,Water Supply
Main pipeline damaged after road work,Water Supply,Critical,Water Supply
Public water tap has stopped working,Water Supply,Medium,Water Supply
Underground pipeline is leaking near the park,Water Supply,High,Water Supply
No water in our area during the morning,Water Supply,Medium,Water Supply
Water supply is interrupted every evening,Water Supply,Medium,Water Supply
Drinking water contains mud particles,Water Supply,High,Water Supply
Water pressure is extremely low near our street,Water Supply,Medium,Water Supply
Leakage from water valve near the junction,Water Supply,Medium,Water Supply
Broken pipeline wasting drinking water,Water Supply,High,Water Supply
Overflowing overhead water tank near the school,Water Supply,Medium,Water Supply
Tap water is not clean enough for drinking,Water Supply,High,Water Supply
Water leakage near the residential colony entrance,Water Supply,High,Water Supply
Supply has stopped after pipeline maintenance,Water Supply,Medium,Water Supply
Main water connection has burst,Water Supply,Critical,Water Supply
Water is not coming from the public tap,Water Supply,Medium,Water Supply
Pipeline repair has been pending for many days,Water Supply,Medium,Water Supply
Water is leaking continuously near the health center,Water Supply,High,Water Supply
Drinking water has an unusual smell,Water Supply,High,Water Supply
Water supply is available only for a few minutes,Water Supply,Medium,Water Supply
Burst pipe causing waterlogging on the road,Water Supply,Critical,Water Supply
Water pipeline has cracked near the apartment,Water Supply,High,Water Supply
Water valve is damaged and leaking badly,Water Supply,Medium,Water Supply
No drinking water available in the village today,Water Supply,High,Water Supply
Water is getting wasted because of pipe leakage,Water Supply,Medium,Water Supply
The municipal water tap is broken,Water Supply,Medium,Water Supply
Leakage from underground water connection,Water Supply,High,Water Supply
No water since early morning,Water Supply,Medium,Water Supply
The overhead tank is leaking continuously,Water Supply,Medium,Water Supply
Pipeline burst beside the shopping complex,Water Supply,Critical,Water Supply
Water quality has become very poor,Water Supply,High,Water Supply
Public tap is overflowing continuously,Water Supply,Medium,Water Supply
Main supply line has developed a leak,Water Supply,High,Water Supply
Drinking water is mixed with dirty water,Water Supply,Critical,Water Supply
There is a leak in the water meter connection,Water Supply,Medium,Water Supply
Pipeline has burst near the police station,Water Supply,Critical,Water Supply
Water supply is irregular in our colony,Water Supply,Medium,Water Supply
Water leakage near the bus depot,Water Supply,High,Water Supply
Water is coming with a bad odor,Water Supply,High,Water Supply
Tap is leaking continuously outside our house,Water Supply,Low,Water Supply
No water available in the hostel today,Water Supply,High,Water Supply
Broken drinking water pipeline near the playground,Water Supply,Critical,Water Supply
Water pressure keeps dropping every afternoon,Water Supply,Medium,Water Supply
Water connection is damaged near the market road,Water Supply,High,Water Supply
Overflowing water tank wasting thousands of liters,Water Supply,High,Water Supply
Main pipeline is leaking beside the community hall,Water Supply,High,Water Supply
No clean drinking water available for residents,Water Supply,Critical,Water Supply
